OBJECTID,NAME_0,Regional_d,Region,Shape_Leng,Shape_Area
"1",Philippines,ARMM,Autonomous Region in Muslim Mindanao,37.45321952610,1.04492949834
"2",Philippines,CAR,Cordillera Administrative Region,7.36722454482,1.53496893420
"3",Philippines,NCR,National Capital Region,2.04377082174,0.04676734938
"4",Philippines,Region I,Ilocos Region,14.56786367600,1.06350130683
"5",Philippines,Region II,Cagayan Valley,17.49401388680,2.23683795277
"6",Philippines,Region III,Central Luzon,14.73908886920,1.79414360562
"7",Philippines,Region IV-A,Calabarzon,20.63639425800,1.40574363082
"8",Philippines,Region IV-B,Mimaropa,65.34767851430,2.23285622680
"9",Philippines,Region IX,Zamboanga Peninsula,15.75433690650,1.18077540919
"10",Philippines,Region V,Bicol Region,38.04540810060,1.45083410207
"11",Philippines,Region VI,Western Visayas,24.64946962700,1.66866105258
"12",Philippines,Region VII,Central Visayas,21.68676149030,1.16901403987
"13",Philippines,Region VIII,Eastern Visayas,33.13432727790,1.73168980323
"14",Philippines,Region X,Northern Mindanao,11.74204557360,1.42863940227
"15",Philippines,Region XI,Davao Region,15.13270103140,1.54819786151
"16",Philippines,Region XII,Soccsksargen,11.42892440320,1.50450244240
"17",Philippines,Region XIII,Caraga,22.70236558120,1.54443468395
