df_index,name,gdf_index
187, Pozorrubio, 1262
469, Science City of Muñoz, 1130
551, Sto. Tomas (Pampanga), 1230 
649, Mataasnakahoy, 167
685, City of Sto. Tomas, 177 
987, Sofronio Española, 1208 
1115, Sagñay, 371 
1316, Dueñas, 654 
1408, Alburquerque, 206 
1449, Getafe, 232 
1467, President Carlos P. Garcia, 241 
1524, Cordova, 453 
1551, Pinamungajan, 470 
1868, Piñan, 1571 
1879, Sergio Osmeña Sr., 1576 
2042, City of Ozamiz, 972
2097, Island Garden City of Samal,
2258, City of Caloocan, 945
2548, Hadji Muhtamad,
2549, Tabuan-Lasa,
2550, Bacolod-Kalawi, 801
2585, Amai Manabilang, 808
2590, Lumbaca-Unayan, 816
2610, Omar,
2638, Datu Abdullah Sangki, 889
2640, Datu Hoffer Ampatuan,
2643, Datu Salibo,
2644, Datu Saudi Ampatuan, 895
2646, Gen. S.K. Pendatun, 897
2656, Shariff Saydona Mustapha,
